ID,Title,Link,Source
2022-08-24-planning-committee-build-scenarios-presentation,Comprehensive Planning Committee Meeting #3.1: Build Scenarios Presentation,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/CPC%203_Group%20Boards_Updated_PRINT.pdf,PPS
2022-08-24-kptv-townhall-press,PPS Hosts Town Hall They Plan Modernize Rename Jefferson HS,https://www.kptv.com/2022/08/25/portland-public-schools-hosts-town-hall-they-plan-modernize-rename-jefferson-hs/,PPS
2022-08-11-bond-accountability-committee-video,Bond Accountability Committee: Video,https://www.youtube.com/watch?v=PDCko_-1BJw&t=900s,PPS
2022-06-15-townhall-presentation,Jefferson High Town Hall: Presentation,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/Town%20Hall%20CPC%202%20Presentation.pdf,PPS
2022-06-15-planning-committee-presentation,Comprehensive Planning Committee Meeting #2: Presentation,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/CPC%20Meeting%202_Presentation%202022-06-15.pdf,PPS
2022-06-15-planning-committee-minutes,Comprehensive Planning Committee Meeting #2: Minutes,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/CPC-2%20Meeting%20Minutes%206-15-22.pdf,PPS
2022-06-14-planning-committee-schedule,Comprehensive Planning Committee: Schedule,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/JHS%20CPC%20Schedule%206-14-22.pdf,PPS
2022-06-06-planning-committee-code-of-conduct,Comprehensive Planning Committee: Code of Conduct,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/JHS%20CPC%20Code%20of%20Conduct.pdf,PPS
2022-06-06-planning-committee-charter,Comprehensive Planning Committee: Charter,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/JHS%20CPC%20Charter%206-6-22.pdf,PPS
2022-06-01-planning-committee-presentation,Comprehensive Planning Committee Meeting #1: Presentation,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/2022-06-01%20JHS%20CPC1%20Presentation.pdf,PPS
2022-06-01-planning-committee-minutes,Comprehensive Planning Committee Meeting #1: Minutes,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/2022-06-01%20CPC-1%20Meeting%20Notes.pdf,PPS
